,Date,Open,High,Low,Close,Volume,Market Cap
105,2021-07-08,8.55e-06,8.56e-06,7.8e-06,8.02e-06,461821077.31,3166020196.64
106,2021-07-07,8.73e-06,8.95e-06,8.54e-06,8.56e-06,400230046.89,3381290978.72
107,2021-07-06,8.34e-06,9.24e-06,8.33e-06,8.74e-06,695333646.34,3450506443.68
108,2021-07-05,8.73e-06,8.73e-06,8.2e-06,8.33e-06,414501520.87,3287801931.77
109,2021-07-04,8.65e-06,8.94e-06,8.46e-06,8.72e-06,382389430.81,3440746987.86
110,2021-07-03,8.35e-06,8.79e-06,8.3e-06,8.65e-06,387155664.84,3415064651.35
111,2021-07-02,8.33e-06,8.44e-06,8.06e-06,8.37e-06,350380456.44,3304293713.5
112,2021-07-01,8.82e-06,8.82e-06,8.16e-06,8.34e-06,472303877.88,3293556320.35
113,2021-06-30,8.88e-06,9.21e-06,8.02e-06,8.84e-06,774601887.96,3490688334.44
114,2021-06-29,8.08e-06,9.59e-06,8.03e-06,8.84e-06,1049937292.34,3490556306.76
115,2021-06-28,7.86e-06,8.2e-06,7.59e-06,8.05e-06,511642751.21,3178205073.79
116,2021-06-27,7.49e-06,7.86e-06,7.28e-06,7.86e-06,368723896.78,3101198479.54
117,2021-06-26,7.08e-06,7.53e-06,6.92e-06,7.48e-06,506208121.8,2952817813.97
118,2021-06-25,7.2e-06,8.27e-06,6.73e-06,7.06e-06,809551821.87,2787285706.0
119,2021-06-24,6.85e-06,7.37e-06,6.57e-06,7.21e-06,374340895.34,2846534842.03
120,2021-06-23,6.33e-06,7.09e-06,6.11e-06,6.83e-06,538227669.2,2698312256.74
121,2021-06-22,6.2e-06,7e-06,5.61e-06,6.33e-06,798815194.99,2497791120.33
122,2021-06-21,7.79e-06,7.83e-06,6.09e-06,6.22e-06,719083156.19,2456650866.23
123,2021-06-20,7.63e-06,8.08e-06,7.14e-06,7.8e-06,644943958.52,3078391264.64
124,2021-06-19,7.26e-06,8.44e-06,7.21e-06,7.62e-06,800211654.51,3009196522.52
125,2021-06-18,7.96e-06,7.97e-06,7.01e-06,7.25e-06,560685269.04,2863397447.74
126,2021-06-17,8.32e-06,8.49e-06,7.72e-06,7.96e-06,645884625.48,3140842180.44
127,2021-06-16,9.02e-06,9.23e-06,8.15e-06,8.31e-06,1147441099.88,3281233169.85
128,2021-06-15,7.08e-06,9.75e-06,7e-06,7.21e-06,464565251.02,2847852209.17
129,2021-06-14,6.84e-06,7.19e-06,6.68e-06,6.99e-06,484227038.41,2758488342.2
130,2021-06-13,6.29e-06,7.09e-06,6.06e-06,6.87e-06,479855598.38,2710887093.63
131,2021-06-12,6.21e-06,6.53e-06,5.57e-06,6.28e-06,602206703.05,2477688250.14
132,2021-06-11,6.83e-06,6.89e-06,6.02e-06,6.21e-06,402206125.03,2452556918.56
133,2021-06-10,7.39e-06,7.41e-06,6.8e-06,6.84e-06,420178357.15,2698655180.49
134,2021-06-09,7.18e-06,7.59e-06,6.86e-06,7.39e-06,546752921.52,2919163863.23
135,2021-06-08,7.73e-06,7.87e-06,6.33e-06,7.23e-06,794735555.04,2854555320.17
136,2021-06-07,8.53e-06,8.72e-06,7.54e-06,7.72e-06,469707679.69,3049622910.45
137,2021-06-06,8.43e-06,8.62e-06,8.35e-06,8.54e-06,359457882.05,3370535792.12
138,2021-06-05,8.81e-06,9.12e-06,8.14e-06,8.44e-06,507707186.77,3333891261.68
139,2021-06-04,9.82e-06,9.84e-06,8.31e-06,8.81e-06,819027578.05,3479283775.53
140,2021-06-03,9.45e-06,1.037e-05,9.3e-06,9.81e-06,841784028.24,3874575576.14
141,2021-06-02,8.83e-06,1.04e-05,8.59e-06,9.44e-06,1190841703.79,3725022319.08
142,2021-06-01,9.29e-06,9.43e-06,8.33e-06,8.82e-06,795576484.39,3482161988.4
143,2021-05-31,7.86e-06,9.95e-06,7.7e-06,9.28e-06,910298126.39,3664936369.5
144,2021-05-30,7.91e-06,8.11e-06,7.56e-06,7.85e-06,440967883.05,3099443066.5
145,2021-05-29,7.91e-06,8.2e-06,7.32e-06,7.89e-06,502184993.65,3116350240.73
146,2021-05-28,8.8e-06,8.84e-06,7.54e-06,7.9e-06,690703669.29,3119912299.48
147,2021-05-27,9.51e-06,9.52e-06,8.52e-06,8.78e-06,679602959.81,3465361428.82
148,2021-05-26,9.38e-06,1.048e-05,9.18e-06,9.52e-06,994520515.75,3757516355.23
149,2021-05-25,1.065e-05,1.114e-05,8.8e-06,9.38e-06,1415340764.55,3704572616.66
150,2021-05-24,8.1e-06,1.195e-05,7.76e-06,1.062e-05,2179651358.82,4194494479.93
151,2021-05-23,8.44e-06,9.6e-06,6.97e-06,8.13e-06,1585032040.14,3211108114.65
152,2021-05-22,8.23e-06,9.78e-06,6.75e-06,8.33e-06,1229821215.22,3287957201.09
153,2021-05-21,9.69e-06,1.036e-05,6.58e-06,8.18e-06,1547207564.56,3228031649.23
154,2021-05-20,9.13e-06,1.212e-05,8.03e-06,9.69e-06,2507945866.62,3823945863.26
155,2021-05-19,1.563e-05,1.578e-05,6.42e-06,9.22e-06,3271067995.88,3640077301.09
156,2021-05-18,1.65e-05,1.796e-05,1.53e-05,1.563e-05,1743302788.75,6172163280.04
157,2021-05-17,1.78e-05,1.798e-05,1.414e-05,1.649e-05,3466116394.23,6511003544.08
158,2021-05-16,1.552e-05,1.953e-05,1.251e-05,1.77e-05,3225440402.57,6987160272.36
159,2021-05-15,1.845e-05,1.892e-05,1.507e-05,1.557e-05,2607873205.27,6148382158.68
160,2021-05-14,2.099e-05,2.22e-05,1.831e-05,1.851e-05,2909604829.89,7309203352.33
161,2021-05-13,1.809e-05,2.35e-05,1.547e-05,2.1e-05,6879491004.61,8288925296.15
162,2021-05-12,3.043e-05,3.146e-05,1.775e-05,1.775e-05,7320441815.95,7007387313.79
163,2021-05-11,3.469e-05,3.793e-05,2.793e-05,3.062e-05,9743912953.35,12088095061.32
164,2021-05-10,1.562e-05,3.88e-05,1.387e-05,3.503e-05,19546576207.38,13830748679.98
165,2021-05-09,1.582e-05,1.95e-05,1.232e-05,1.562e-05,6171534718.55,6168398355.36
166,2021-05-08,2.8e-06,1.897e-05,2.8e-06,1.578e-05,6118033567.13,6228540594.96
167,2021-05-07,1.53e-06,3.12e-06,1.4e-06,2.79e-06,367358433.92,0.0
168,2021-05-06,1.71e-06,1.73e-06,1.48e-06,1.53e-06,27406651.77,0.0
169,2021-05-05,1.67e-06,1.84e-06,1.65e-06,1.71e-06,47093778.65,0.0
170,2021-05-04,1.59e-06,1.94e-06,1.5e-06,1.67e-06,64001867.17,0.0
171,2021-05-03,1.65e-06,1.82e-06,1.55e-06,1.59e-06,40570107.25,0.0
172,2021-05-02,1.9e-06,1.91e-06,1.6e-06,1.63e-06,59652129.79,0.0
173,2021-05-01,2.03e-06,2.05e-06,1.76e-06,1.9e-06,92395224.03,0.0
174,2021-04-30,1.4e-06,2.18e-06,1.38e-06,2.03e-06,133732362.05,0.0
175,2021-04-29,1.48e-06,1.52e-06,1.3e-06,1.4e-06,96378674.88,0.0
176,2021-04-28,9.8e-07,1.55e-06,8.7e-07,1.48e-06,139690064.86,0.0
177,2021-04-27,1.18e-06,1.24e-06,7.7e-07,9.8e-07,102515601.66,0.0
178,2021-04-26,1.31e-06,1.39e-06,1.17e-06,1.18e-06,102581470.93,0.0
179,2021-04-25,1.36e-06,1.43e-06,1.12e-06,1.31e-06,90558037.79,0.0
180,2021-04-24,1.22e-06,1.59e-06,1.18e-06,1.36e-06,83694372.81,0.0
181,2021-04-23,1.6e-06,1.74e-06,1.12e-06,1.22e-06,151001681.68,0.0
182,2021-04-22,1.29e-06,1.93e-06,1.2e-06,1.6e-06,194322190.16,0.0
183,2021-04-21,2.49e-06,2.74e-06,9.6e-07,1.29e-06,290865030.95,0.0
184,2021-04-20,3.71e-06,4.17e-06,1.72e-06,2.49e-06,526088539.5,0.0
185,2021-04-19,1.88e-06,3.71e-06,1.81e-06,3.7e-06,424418997.57,0.0
186,2021-04-18,1.98e-06,2.09e-06,1.22e-06,1.88e-06,142743622.95,0.0
187,2021-04-17,6.8e-07,3.01e-06,6.7e-07,1.98e-06,460833711.52,0.0
188,2021-04-16,2.6e-07,9.9e-07,2.6e-07,6.8e-07,161689870.49,0.0
189,2021-04-15,1.7e-07,2.9e-07,1.6e-07,2.6e-07,14718199.85,0.0
190,2021-04-14,1.6e-07,1.8e-07,1.3e-07,1.7e-07,6349137.42,0.0
191,2021-04-13,1.9e-07,2.1e-07,1.4e-07,1.6e-07,13314012.91,0.0
192,2021-04-12,1.1e-07,2.1e-07,1e-07,1.7e-07,17561875.33,0.0
193,2021-04-11,8e-08,1.2e-07,8e-08,1.1e-07,6995582.85,0.0
194,2021-04-10,7e-08,8e-08,6e-08,8e-08,1272821.38,0.0
195,2021-04-09,6e-08,7e-08,6e-08,7e-08,610176.4,0.0
196,2021-04-08,6e-08,6e-08,6e-08,6e-08,338731.05,0.0
197,2021-04-07,6e-08,6e-08,5e-08,6e-08,835693.93,0.0
198,2021-04-06,5e-08,6e-08,5e-08,6e-08,1294612.4,0.0
199,2021-04-05,4e-08,5e-08,4e-08,5e-08,1161737.83,0.0
200,2021-04-04,5e-08,5e-08,4e-08,4e-08,1264328.43,0.0
201,2021-04-03,5e-08,5e-08,4e-08,5e-08,812223.57,0.0
202,2021-04-02,5e-08,5e-08,4e-08,5e-08,1253052.82,0.0
203,2021-04-01,6e-08,6e-08,5e-08,5e-08,1238056.06,0.0
